Slno,Area,Year,Rural population,Urban population,Urbanization Rate,"Abaca, manila hemp, raw","Agave fibres, raw, n.e.c.","Almonds, in shell","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Apples,Apricots,Areca nuts,Artichokes,Asparagus,Avocados,"Bambara beans, dry",Bananas,Barley,"Beans, dry",Beeswax,Blueberries,"Brazil nuts, in shell","Broad beans and horse beans, dry","Broad beans and horse beans, green",Buckwheat,"Buffalo fat, unrendered",Cabbages,Canary seed,Cantaloupes and other melons,Carrots and turnips,"Cashew nuts, in shell",Cashewapple,Cassava leaves,"Cassava, fresh",Castor oil seeds,"Cattle fat, unrendered",Cauliflowers and broccoli,Cereals n.e.c.,Cherries,"Chestnuts, in shell","Chick peas, dry",Chicory roots,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","Cinnamon and cinnamon-tree flowers, raw","Cloves (whole stems), raw",Cocoa beans,"Coconuts, in shell","Coffee, green","Coir, raw","Cow peas, dry",Cranberries,Cucumbers and gherkins,Currants,Dates,"Edible offal of buffalo, fresh, chilled or frozen","Edible offal of cattle, fresh, chilled or frozen","Edible offal of goat, fresh, chilled or frozen","Edible offal of pigs, fresh, chilled or frozen","Edible offal of sheep, fresh, chilled or frozen","Edible offals of camels and other camelids, fresh, chilled or frozen","Edible offals of horses and other equines,  fresh, chilled or frozen","Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Eggplants (aubergines),"Eggs from other birds in shell, fresh, n.e.c.",Fat of camels,Fat of pigs,Figs,"Flax, raw or retted",Fonio,"Game meat, fresh, chilled or frozen","Ginger, raw","Goat fat, unrendered",Gooseberries,Grapes,Green corn (maize),Green garlic,"Groundnuts, excluding shelled","Hazelnuts, in shell",Hempseed,"Hen eggs in shell, fresh",Hop cones,"Horse meat, fresh or chilled",Jojoba seeds,"Jute, raw or retted",Kapok fruit,Karite nuts (sheanuts),"Kenaf, and other textile bast fibres, raw or retted",Kiwi fruit,Kola nuts,Leeks and other alliaceous vegetables,Lemons and limes,"Lentils, dry",Lettuce and chicory,Linseed,Locust beans (carobs),Lupins,Maize (corn),"Mangoes, guavas and mangosteens",Maté leaves,"Meat of asses, fresh or chilled","Meat of buffalo, fresh or chilled","Meat of camels, fresh or chilled","Meat of cattle with the bone, fresh or chilled","Meat of chickens, fresh or chilled","Meat of ducks, fresh or chilled","Meat of geese, fresh or chilled","Meat of goat, fresh or chilled","Meat of mules, fresh or chilled","Meat of other domestic camelids, fresh or chilled","Meat of other domestic rodents, fresh or chilled","Meat of pig with the bone, fresh or chilled","Meat of pigeons and other birds n.e.c., fresh, chilled or frozen","Meat of rabbits and hares, fresh or chilled","Meat of sheep, fresh or chilled","Meat of turkeys, fresh or chilled",Melonseed,Millet,Mixed grain,Mushrooms and truffles,Mustard seed,Natural honey,Natural rubber in primary forms,"Nutmeg, mace, cardamoms, raw",Oats,Oil palm fruit,Okra,Olives,"Onions and shallots, dry (excluding dehydrated)","Onions and shallots, green",Oranges,"Other beans, green",Other berries and fruits of the genus vaccinium n.e.c.,"Other citrus fruit, n.e.c.","Other fibre crops, raw, n.e.c.","Other fruits, n.e.c.","Other meat of mammals, fresh or chilled","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","Other oil seeds, n.e.c.",Other pome fruits,Other pulses n.e.c.,"Other stimulant, spice and aromatic crops, n.e.c.",Other stone fruits,Other sugar crops n.e.c.,"Other tropical fruits, n.e.c.","Other vegetables, fresh n.e.c.",Papayas,Peaches and nectarines,Pears,"Peas, dry","Peas, green","Pepper (Piper spp.), raw","Peppermint, spearmint",Persimmons,"Pigeon peas, dry",Pineapples,"Pistachios, in shell",Plantains and cooking bananas,Plums and sloes,Pomelos and grapefruits,Poppy seed,Potatoes,"Pumpkins, squash and gourds","Pyrethrum, dried flowers",Quinces,Quinoa,"Ramie, raw or retted",Rape or colza seed,Raspberries,Raw hides and skins of buffaloes,Raw hides and skins of cattle,Raw hides and skins of goats or kids,Raw hides and skins of sheep or lambs,Raw milk of buffalo,Raw milk of camel,Raw milk of cattle,Raw milk of goats,Raw milk of sheep,Rice,Rye,Safflower seed,"Seed cotton, unginned",Sesame seed,"Sheep fat, unrendered","Shorn wool, greasy, including fleece-washed shorn wool",Silk-worm cocoons suitable for reeling,"Sisal, raw","Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails",Sorghum,Sour cherries,Soya beans,Spinach,Strawberries,String beans,Sugar beet,Sugar cane,Sunflower seed,Sweet potatoes,Tallowtree seeds,"Tangerines, mandarins, clementines",Taro,Tea leaves,Tomatoes,Triticale,"True hemp, raw or retted",Tung nuts,Unmanufactured tobacco,"Vanilla, raw",Vetches,"Walnuts, in shell",Watermelons,Wheat,Yams,Yautia,Food Price Index,Average dietary energy requirement (kcal/cap/day),Percentage of children under 5 years affected by wasting (percent),Prevalence of severe food insecurity in the total population (percent) (3-year average),Prevalence of undernourishment (percent) (3-year average),Agricultural land,Agriculture,Arable land,Cropland,Farm buildings and Farmyards,Perm. meadows & pastures - Cultivated,Perm. meadows & pastures - Nat. growing,Permanent crops,Permanent meadows and pastures,Temporary crops,Temporary fallow,Temporary meadows and pastures,Nutrient balance
253,Kiribati,2022,54.284,72.129,1.328734065,0,0,0,0,0,0,0,0,0,0,0,7500.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180800,0,0,0,0,0,0,0,0,0,0,66.49,0,0,0,0,0,0,0,53.19,0,0,0,0,0,0,0,0,0,0,0,0,0,5651.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.99,0,0,0,0,0,0,1063.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.45,0,0,0,0,0,0,1720.57,5621.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1926.42,0,0,0,0,0,0,0,0,0,0,0,0,0,109.88,2232,0,8,3.7,34,34,2,34,0,0,0,32,0,1.5574,0.2237,0.2189,-37.3456
254,Kuwait,2020,0,4302.875,inf,0,0,0,0,0,0,0,0,0,0,0,0,5533,0,0,0,0,0,364.11,0,0,7044,0,1320,523,0,0,0,0,0,58.05,7729,0,0,0,0,0,0,7505,0,0,0,0,0,0,0,0,48880,0,111750,0,393.89,166.66,0,9699.96,154.8,0,0,21596,0,64.5,0,0,0,0,0,0,47.62,0,167,0,490,0,0,0,1374091,0,0,0,0,0,0,0,0,0,277.89,200,0,13795,0,0,0,25792,56.85,0,0,0,2150,2280.41,62550,0,0,1402.08,0,0,0,0,0,0,51409.8,0,0,0,0,12.8,0,0,0,0,0,0,1694,740,11290,2850.16,220,1239,0,0,0,7460,0,0,0,0,0,453.13,0,0,0,35490,0,0,0,0,8.07,0,0,0,0,0,0,0,0,0,0,18681,7282,0,0,0,0,0,0,0,290.23,166.66,11639.96,0,0,67364,6031.33,296.07,0,0,0,0,0,3006.99,909.89,0,0,0,0,0,0,514,190,0,0,0,0,38.22,0,0,0,0,66901,0,0,0,0,0,0,0,767,70,0,0,107.72,2482,2.3,4.9,2.5,150,150,8,14,0,0,0,6,136,6.1766,0.9479,0.8755,459.0456667
255,Kuwait,2021,0,4361.47,inf,0,0,0,0,0,0,0,0,0,0,0,0,4620,0,0,0,0,0,66,0,0,4466,0,809,118,0,0,0,0,0,56.99,6921,0,0,0,0,0,0,11407,0,0,0,0,0,0,0,0,41922,0,97700,0,386.69,170.94,0,9841.81,168.48,0,0,17047,0,70.2,0,0,0,0,0,0,48.84,0,190,0,450,0,0,0,1329727,0,0,0,0,0,0,0,0,0,254.91,210,0,12079,0,0,0,20020,60.47,0,0,0,2340,2238.76,64600,0,0,1438.07,0,0,0,0,0,0,52161.61,0,0,0,0,11.83,0,0,0,0,0,0,1041,640,9680,1587.57,250,941,0,0,0,6150,0,0,0,0,0,453.43,0,0,0,40590,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23875,8345,0,0,0,0,0,0,0,284.93,170.94,11810.18,0,0,67966.33,6085.44,299.26,0,0,0,0,0,3050.96,969.54,0,0,0,0,0,0,225,196,0,0,2,0,30.3,0,0,0,0,61164,0,0,0,0,0,0,0,729,40,0,0,117.93,2478,3,4.5,2.5,150,150,8,14,0,0,0,6,136,6.2297,0.8948,0.8755,395.6392333
256,Kuwait,2022,0,4422.07,inf,0,0,0,0,0,0,0,0,0,0,0,0,4451.14,0,0,0,0,0,71,0,0,4767,0,1127,100,0,0,0,0,0,58.26,6210,0,0,0,0,0,0,10024,0,0,0,0,0,0,0,0,45030,0,103500,0,395.31,170.7,0,9849.48,185.97,0,0,16569,0,77.49,0,0,0,0,0,0,48.77,0,200.99,0,360,0,0,0,1317651,0,0,0,0,0,0,0,0,0,156.08,225.35,0,12617,0,0,0,22550,50.16,0,0,0,2582.93,2288.63,60000,0,0,1436.05,0,0,0,0,0,0,52202.24,0,0,0,0,10.93,0,0,0,0,0,0,1292,571.78,8870,245.51,263.26,1020,0,0,0,5522.24,0,0,0,0,0,450.96,0,0,0,41890.88,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14781,9326,0,0,0,0,0,0,0,291.28,170.7,11819.37,0,0,68478.78,6169.93,301.6,0,0,0,0,0,3053.34,992.15,0,0,0,0,0,0,234,263,0,0,2,0,32.4,0,0,0,0,59058,0,0,0,0,0,0,0,397,27.55,0,0,126.68,2481,0,3.5,2.5,150,150,8,14,0,0,0,6,136,6.2297,0.8948,0.8755,390.6617
257,Kyrgyzstan,2020,3979.161,2322.557,0.583680077,0,0,1702.99,0,138777.58,26749.32,0,0,0,0,0,0,510207.9,89667.39,0,0,0,0,1514.99,16.9,0,131798.9,0,0,178841.7,0,0,0,0,0,3413.9,1330.45,0,4627.62,0,0,0,1042.68,8405.06,0,0,0,0,0,0,0,0,129122.4,110.69,0,0,17270.31,1233.37,720.74,14315.56,0,3065.3,0,563.76,2025,0,720.74,0,0,0,0,0,418.46,110.96,9268,0,68350,439.5,4263.71,0,592966.95,0,26274,0,0,0,0,0,410.55,0,304.22,0.87,0,1743.21,92.16,0,0,714086.4,0,0,0,0,0,114466,9499,0,0,9690.73,0,0,0,13042,0,107,67009,0,0,320.2,2.9,234.27,14.52,1918,0,0,2194.8,0,0,0,213023.4,0,0,6968.72,3892.74,104.05,0,9364.07,0,2562.15,18.7,0,107050.7,414.1,0,0,0,114741.2,0,11447.8,11000,157.3,983.18,197.76,0,0,0,0,906.17,0,12329.22,0,0,1327163,3536.21,0,2212.78,0,0,123,2601.19,0,10241.69,1409.56,12335.75,0,0,1667973,628,0,44473.6,931.91,9869.6,72774.1,0,2893.57,11468.11,357.14,0,0,26.2,0,2371.2,0,2141.11,0,448771.5,0,11088.4,0,0,0,0,0,237155.5,155.5,0,0,963.7,0,0,6254.3,233531.8,629051.5,0,0,106.14,2311,0,1,5.1,10367.8,10367.8,1287.4,1364.1,0,3.5,9000.2,76.7,9003.7,993.9736,2,291.4264,25.31633333
258,Kyrgyzstan,2021,4011.291,2370.607,0.590983551,0,0,1702.88,0,139128.28,27129.65,0,0,0,0,0,0,274082,90171.1,0,0,0,0,1472.76,12,0,135373,0,0,169102,0,0,0,0,0,3388.04,1366.53,0,4679.68,0,0,0,985.17,8464.34,0,0,0,0,0,0,0,0,129159,110.55,0,0,17139.5,1216.79,601.76,15247.01,0,3262.58,0,636.39,2025,0,601.76,0,0,0,0,0,412.84,110.91,7404,0,67473,360,4278.99,0,595207.79,0,27965,0,0,0,0,0,412.63,0,304.86,0.89,0,1768.72,92.26,0,0,691139,0,0,0,0,0,113599,11069,0,0,9560.46,0,0,0,10889,0,104,71369,0,0,93,0.2,230.74,14.05,2364,0,0,1094,0,0,0,204778,0,0,7173.11,3931.06,104.38,0,9348.39,0,2582.81,18.42,0,82635,397.33,0,0,0,124262,0,11402.61,11000,297,991.37,198.77,0,0,0,0,909.46,0,12309.33,0,0,1289108,3589.03,0,2199.04,0,0,71,2612.7,0,10164.12,1390.61,13138.38,0,0,1698962,586,0,46338,961.71,6004,66899,0,3081.84,11704.26,312.54,0,0,6,0,2816,0,2123.45,0,365588,0,8588,0,0,0,0,0,231053,16,0,0,1113,0,0,6272.11,193784,362711,0,0,125.22,2314,1,1.1,5.5,10366.1,10366.1,1287.4,1364.1,0,3.5,8998.5,76.7,9002,1002.5136,2,282.8864,30.61293333
259,Kyrgyzstan,2022,4039.447,2419.608,0.598994862,0,0,1710.82,0,140404.16,26667.88,0,0,0,0,0,0,539602,90323.7,0,0,0,0,1507.84,17,0,142555,0,0,186363,0,0,0,0,0,3571.22,1378.83,0,4638.57,0,0,0,988.55,8406.8,0,0,0,0,0,0,0,0,126811,111.36,0,0,18066.19,1143.08,453.49,16244.48,0,3569.88,0,639.65,2025,0,453.49,0,0,0,0,0,387.83,111.83,7331,0,75561,390,4286.87,0,641316.57,0,30599,0,0,0,0,0,413.26,0,305.14,0.87,0,1773.11,91.88,0,0,732633,0,0,0,0,0,119741,18400,0,0,8981.31,0,0,0,8206,0,149,76038,0,0,90,12,230.31,13.66,2970,0,0,2423,0,0,0,209950,0,0,7228.35,3948.37,104.54,0,9392.92,0,2588.61,17.55,0,78281,399.42,0,0,0,120204,0,11391.73,11000,261,985.3,199.06,0,0,0,0,915.24,0,12350.71,0,0,1257012,3595.24,0,2219.3,0,0,134,2604.93,0,10713.67,1306.37,13997.9,0,0,1734143,548,0,44248,912.61,9780,76511,0,3283.46,11753.12,333.56,0,0,2,0,3076,0,2135.2,0,468093,0,6310,0,0,0,0,0,247474,204.09,0,0,1216,0,0,6233.7,194816,592507,0,0,145.5,2318,0,1.1,6.1,10597.45,10597.45,1286.385,1363.5,0,3.5,8991.869,77.09,8995.369,1001.7232,3.4,281.2618,23.2086
260,Lao People's Democratic Republic,2020,4564.691,2600.131,0.569618184,0,0,0,0,0,0,0,0,0,0,0,893000,0,4389.15,0,0,0,0,0,0,787.93,0,0,18608.03,0,0,0,0,3041598.07,0,1398.28,0,0,0,0,0,0,12731.2,17841.06,0,0,0,0,158190,0,0,0,0,0,0,3939.65,6991.38,539.33,14033.65,0,0,0,3895502,0,10400,0,9402.54,0,0,0,0,0,122.58,0,0,0,0,43591.07,0,0,362739.31,0,0,0,0,0,0,0,0,0,0,7454.92,0,0,0,0,0,683625,4871.95,0,0,21668.1,0,38134.81,36542.19,4532.25,287.17,2696.65,0,0,0,98235.54,0,0,0,0,0,0,0,0,0,0,201600,8055.75,0,0,0,0,0,0,43154.82,3148.17,0,0,0,49398.43,0,0,0,0,3500,0,12594.53,0,0,1450706,29051.09,0,0,0,0,0,0,0,0,63407.94,0,0,0,6417.44,0,3721.72,0,0,0,0,2662.76,0,0,3151.72,5847.34,588.36,0,0,0,8420.7,0,0,3519100,0,0,2300,10521.71,0,0,0,0,0,0,0,6803.41,0,0,0,0,1375459.09,0,114773,0,38917.83,124861.96,14261.41,0,0,0,0,33017.4,0,0,0,146468.87,0,0,0,119.95,2354,0,8.3,6.3,2197.775,2197.775,1224,1520.775,0,0,0,296.775,677,1070,154,0,27.10313333
261,Lao People's Democratic Republic,2021,4579.664,2682.637,0.585771576,0,0,0,0,0,0,0,0,0,0,0,728200,0,4360.53,0,0,0,0,0,0,802.6,0,0,20347,0,0,0,0,3710000,0,1465.37,0,0,0,0,0,0,12453.47,17315.08,0,0,0,0,161200,0,0,0,0,0,0,4013.01,7326.84,567.06,13953.69,0,0,0,3853336,0,10400,0,9348.98,0,0,0,0,0,128.88,0,0,0,0,43400.62,0,0,369312.28,0,0,0,0,0,0,0,0,0,0,7430,0,0,0,0,0,535257,4867.66,0,0,22071.57,0,39964.57,37749.38,4557.03,287.23,2835.28,0,0,0,97675.86,0,0,0,0,0,0,0,0,0,0,225700,8440,0,0,0,0,0,0,42741.14,3187.15,0,0,0,49185.5,0,0,0,0,2981.5,0,12646.28,0,0,1437781,32092,0,0,0,0,0,0,0,0,74600,0,0,0,6381.01,0,3641.44,0,0,0,0,2680.05,0,0,3210.41,6127.9,618.61,0,0,0,8647.74,0,0,3494890,0,0,2054,8720,0,0,0,0,0,0,0,6340,0,0,0,0,1141200,0,126570,0,39069.75,135644.54,15041.22,0,0,0,0,26238,0,0,0,128076,0,0,0,123.57,2358,0,7.2,5.9,2196.743,2196.743,1224,1519.743,0,0,0,295.743,677,1070,154,0,29.1538
262,Lao People's Democratic Republic,2022,4591.514,2765.699,0.602350118,0,0,0,0,0,0,0,0,0,0,0,737470,0,4422.37,0,0,0,0,0,0,786.66,0,0,15260,0,0,0,0,5286000,0,1550.36,0,0,0,0,0,0,12517.64,17431.95,0,0,0,0,171000,0,0,0,0,0,0,3933.29,7751.82,601.46,14349.68,0,0,0,4176564.54,0,10400,0,9614.29,0,0,0,0,0,136.7,0,0,0,0,40990,0,0,360486.01,0,0,0,0,0,0,0,0,0,0,7950,0,0,0,0,0,462810,4888.93,0,0,21633.08,0,42282.64,39450.52,4583.5,289.35,3007.3,0,0,0,100447.77,0,0,0,0,0,0,0,0,0,0,288400,8790,0,0,0,0,0,0,42585.2,3098.15,0,0,0,49297.49,0,0,0,0,1159.24,0,12545.17,0,0,1472350.14,26690,0,0,0,0,0,0,0,0,74650,0,0,0,6395.2,0,3564.15,0,0,0,0,2686.01,0,0,3146.63,6483.34,656.14,0,0,0,8904.68,0,0,3594800,0,0,1795,8800,0,0,0,0,0,0,0,4745,0,0,0,0,1502200,0,128240,0,38862.36,138507.24,16800,0,0,0,0,23840,0,0,0,145440,0,0,0,150.77,2361,0,6.2,5.4,2251.038,2251.038,1224,1574.038,0,0,0,350.038,677,1070,154,0,26.40786667
263,Latvia,2020,599.796,1293.197,2.156061394,0,0,0,0,13900,0,0,0,0,0,0,0,308800,0,0,700,0,106500,0,0,0,19300,0,0,17000,0,0,0,0,0,0,700,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,1600,0,0,0,758626,0,0,0,0,0,0,0,0,0,800,0,0,100,100,0,200,0,0,0,0,0,0,16030,35140,0,0,50,0,0,0,37260,0,0,980,0,0,0,17900,0,0,1679,0,0,287900,0,0,0,11700,0,0,0,1300,0,0,0,0,0,400,700,500,0,0,0,0,800,0,0,600,30000,0,0,0,0,0,0,0,0,100,0,0,181100,4100,0,0,0,0,455500,200,0,0,0,0,0,0,988200,1900,0,0,178400,0,0,0,0,0,0,0,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,4500,27700,0,0,0,0,0,0,0,2659600,0,0,113.11,2453,0,0.7,2.5,1969,1969,1334,1343,0,0,0,9,626,978.6,56,299.4,17.60576667
264,Latvia,2021,592.276,1283.253,2.166646969,0,0,0,0,8200,0,0,0,0,0,0,0,215800,0,0,500,0,60600,0,0,0,20500,0,0,11500,0,0,0,0,0,0,200,14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7600,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,766327,0,0,0,0,0,0,0,0,0,100,0,0,100,100,0,0,0,0,0,0,0,0,17040,35080,0,0,50,0,0,0,37850,0,0,800,20,0,0,11600,0,0,2135,0,0,182900,0,0,0,6300,0,0,0,1300,0,0,0,0,0,500,800,500,0,0,0,0,0,0,0,400,26500,0,0,0,0,0,0,0,0,100,0,0,115100,2800,0,0,0,0,427900,300,0,0,0,0,0,0,990310,1910,0,0,138400,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,5300,23900,0,0,0,0,0,0,0,2407700,0,0,115.64,2453,1.6,1,2.5,1970,1970,1362,1371,0,0,0,9,599,1006.4,59,296.6,20.47583333
265,Latvia,2022,584.768,1273.98,2.178607585,0,0,0,0,10040,0,0,0,0,0,0,0,281600,0,0,420,0,93400,0,0,0,16690,0,0,12330,0,0,0,0,0,0,190,25300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8140,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,0,0,0,805927,0,0,0,0,0,0,0,0,0,220,0,0,180,200,0,100,0,0,0,0,0,0,15940,36560,0,0,40,0,0,0,38720,0,0,810,20,0,0,17800,0,0,2302,0,0,224500,0,0,0,7910,0,0,0,1010,0,0,0,0,0,700,1470,600,0,0,0,0,100,0,0,520,51700,0,0,0,0,0,0,0,0,110,0,0,130400,3880,0,0,0,0,359100,220,0,0,0,0,0,0,973810,1480,0,0,129000,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,0,0,0,0,0,0,0,0,4810,26100,0,0,0,0,0,0,0,2539400,0,0,140.66,2452,0,1.5,2.5,1970,1970,1357,1367,0,0,0,10,603,1022,54,281,16.9131
266,Lebanon,2020,666.679,5353.116,8.029525454,0,0,29420,470,245150,34110,0,640,0,18698.56,0,82561,31000,3460,0,0,0,360,13839.01,0,0,56610,0,17830,5300,0,0,0,0,0,1062.48,17560,0,32736.8,0,3080,0,0,7920,0,0,0,0,0,0,0,0,120090,0,0,0,4604.08,421.34,50.38,697.51,0,0,0,26980,0,0,64.12,3180,0,0,0,0,97.23,0,62955,0,2860,9350,0,0,886830,0,0,0,0,0,0,0,0,0,0,105650,1530,16380,0,4220.19,102.63,3000,0,0,0,0,0,44270,126010,0,0,3111.41,0,0,0,687.01,0,0,4982.21,0,0,0,0,0,0,1420,0,0,150,0,1050,136380,69160,0,159950,16940,0,0,0,49630,0,3187.76,0,0,600,710.53,0,0,0,13560,0,39180,32420,3570,10710,0,0,0,0,0,0,0,37210.31,9610,0,628410,28000,0,0,0,0,0,0,0,4604.08,492.64,876.87,0,0,322102,29143.32,19693.12,0,0,0,0,190,1195.73,2660.28,0,0,0,320,0,0,1839.17,2460,0,5480,0,0,0,0,26230,740,0,270720,0,0,0,9470,0,452.42,3780.29,58240,140000,0,0,397.08,2360,0,10.2,8.9,677.3,677.3,137.3,277.3,0,0,0,140,400,128,9.3,0,11.2169
267,Lebanon,2021,649.747,5307.547,8.168636408,0,0,25940,331.72,233000,34500,0,640,0,18955,0,83500,30000,3270,0,0,0,390,13710,0,0,54260,0,17570,4762.54,0,0,0,0,0,1092.24,16320,0,33684,0,3000,0,0,7920,0,0,0,0,0,0,0,0,120600,0,0,0,4733.04,411.64,54.17,696.82,0,0,0,26900,0,0,68.94,3014.35,0,0,0,0,94.99,0,59220,0,2355.09,9160,0,0,872970,0,0,0,0,0,0,0,0,0,0,105840,1620,16610,0,4149.92,101.68,3000,0,0,0,0,0,45510,114000,0,0,3039.78,0,0,0,738.67,0,0,4977.25,0,0,0,0,0,0,1349.1,0,0,150,0,910,137950.55,81810,0,164210,17150,0,0,0,48840,0,3201.73,0,0,600,712.86,0,0,0,13560,0,47670,32290,3590,11200,0,0,0,0,0,0,0,37076.41,8750,0,659480,28160,0,0,0,0,0,0,0,4733.04,481.3,876,0,0,337367.33,29044.74,19693.37,0,0,0,0,190,1194.54,2715.03,0,0,0,380,0,0,2157.89,2410,0,5410,0,0,0,0,29080,740,0,271030,0,0,0,10170,0,453.18,3508.39,60430,100000,0,0,1630.74,2365,1.4,12.6,10.2,679.3,679.3,139.3,279.3,0,0,0,140,400,130,9.3,0,6.302133333
268,Lebanon,2022,630.865,5244.353,8.312956021,0,0,25781.58,344.06,233949.57,34268.19,0,529.94,0,19306.27,0,83100.59,30000,3050.59,0,0,0,376.25,13464.08,0,0,55910.56,0,16272.01,4111.06,0,0,0,0,0,1136.9,16325.75,0,31399.14,0,2908.92,0,0,8443.33,0,0,0,0,0,0,0,0,123127.94,0,0,0,4926.59,399.4,54.48,698.12,0,0,0,27040.29,0,0,69.34,3204.67,0,0,0,0,92.17,0,55990.11,0,2658.49,8697.22,0,0,1008280.33,0,0,0,0,0,0,0,0,0,0,106748.81,1605.35,18192.8,0,4193.92,102.75,3000,0,0,0,0,0,47371.04,112059.04,0,0,2949.41,0,0,0,742.94,0,0,4986.59,0,0,0,0,0,0,1218.43,0,0,136.11,0,815.05,138350.87,89574.77,0,162752.29,16068.64,0,0,0,47896.59,0,3182.53,0,0,595.51,717.2,0,0,0,11192.53,0,53802.02,31577.37,3720.26,10850.95,0,0,0,0,0,0,0,37579.9,7929.67,0,678092.55,28278.61,0,0,0,0,0,0,0,4926.59,466.99,877.64,0,0,336489.78,28861.2,19956.06,0,0,0,0,187.2,1196.78,2772.79,0,0,0,415.89,0,0,2011.48,2092.46,0,5924.51,0,0,0,0,29504.06,730.81,0,271895.09,0,0,0,10328.25,0,460.3,3378.25,60349.33,100000,0,0,5544.71,2369,0,11.7,9.6,679.3,679.3,139.3,279.3,0,0,0,140,400,130,9.3,0,2.594833333
269,Lesotho,2020,1648.125,674.092,0.409005385,0,0,0,0,0,0,0,0,0,0,0,0,300.52,3681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.99,47.48,98.23,150.51,0,4.45,0,0,0,0,84.38,0,0,0,5440.26,0,6.06,0,0,0,0,0,0,0,26783.31,0,39.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21782,0,0,25,0,0,1635.8,488.81,0,0,267.7,0,0,0,919.36,0,0,694.67,0,0,0,0,0,0,0,0,0,332.58,0,0,0,0,0,0,0,0,0,0,14761.65,0,0,0,0,0,0,0,0,0,33149.52,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,131676.17,0,0,0,0,0,0,0,0,346.03,44.45,215.02,0,0,173333.33,0,0,0,0,0,0,0,84.35,3631.68,0,0,0,4111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,0,0,146.6,2299,0,30.9,0,2433,2433,345.4,433,0,0,0,4,2000,83,257,5.4,5.5324
270,Lesotho,2021,1658.271,693.232,0.41804506,0,0,0,0,0,0,0,0,0,0,0,0,299.02,12121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.94,30.72,76.69,63.73,0,5.9,0,0,0,0,65.87,0,0,0,5527.14,0,3.92,0,0,0,0,0,0,0,26304.3,0,51.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88553,0,0,30,0,0,1034.28,781.94,0,0,173.21,0,0,0,717.71,0,0,294.12,0,0,0,0,0,0,0,0,0,332.83,0,0,0,0,0,0,0,0,0,0,14990.22,0,0,0,0,0,0,0,0,0,32916.69,0,0,0,473,0,0,0,0,0,0,0,0,0,0,0,132667.38,0,0,0,0,0,0,0,0,218.79,28.76,91.04,0,0,174444.44,0,0,0,0,0,0,0,35.71,3615.46,0,0,0,6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2395,0,0,160.72,2301,0,32.8,0,2433,2433,220,433,0,0,0,4,2000,194,26,0,4.6668
