Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Valid
Germany,2024,Frozen Food,3513.33,4052.67,133.87,363.3,54.85,Keep
Canada,2023,Bakery Items,48403.15,54948.5,175.17,160.14,36.3,Keep
France,2024,Prepared Food,11808.79,9716.69,26.98,929.6,47.29,Keep
Spain,2024,Frozen Food,43174.51,44863.41,106.07,1045.29,66.83,Keep
Canada,2024,Frozen Food,29213.17,32840.66,196.08,720.28,61.88,Keep
Russia,2023,Fruits & Vegetables,30114.14,35677.05,48.9,609.87,49.16,Keep
China,2024,Bakery Items,45901.37,45831.98,85.68,1026.24,49.64,Keep
Saudi Arabia,2023,Bakery Items,40840.5,38524.82,141.79,1368.67,41.5,Keep
Brazil,2023,Prepared Food,18777.45,20043.85,126.6,744.7,41.41,Keep
Italy,2023,Meat & Seafood,26903.69,24908.69,35.1,623.3,41.26,Keep
Argentina,2023,Prepared Food,12372.33,12415.82,138.17,1138.27,52.01,Keep
South Africa,2024,Prepared Food,17657.47,18438.18,75.73,276.64,47.82,Keep
Indonesia,2023,Fruits & Vegetables,18031.41,19215.43,85.46,365.47,36.96,Keep
Spain,2023,Bakery Items,5790.86,5547.58,28.85,1214.86,45.32,Keep
France,2023,Bakery Items,44497.57,46476.28,172.75,247.47,57,Keep
South Korea,2024,Prepared Food,30053.52,34959.69,133.09,1193.69,57.82,Keep
USA,2024,Prepared Food,4538.11,4999.14,26.16,932.89,61.71,Keep
Indonesia,2024,Frozen Food,27988.79,32506.92,60.95,543.37,56.63,Keep
Argentina,2024,Bakery Items,46936.57,47407.6,87.18,1057.21,35.09,Keep
Spain,2024,Fruits & Vegetables,2283.1,2654.6,116.93,344.81,49.01,Keep
Japan,2024,Grains & Cereals,1899.36,2058.86,49.89,955.05,55.36,Keep
Japan,2024,Meat & Seafood,37391.39,39782.84,133.13,732.21,42.74,Keep
Germany,2024,Frozen Food,24319.52,28927.51,77.55,162.23,34.26,Keep
Saudi Arabia,2023,Beverages,7137.78,8416.94,55.96,552.89,35.4,Keep
South Africa,2023,Frozen Food,18189.87,16385.44,92.06,922.1,46.46,Keep
South Korea,2024,Prepared Food,35706.01,31406.22,162.59,1276.55,56.51,Keep
Canada,2023,Beverages,5754.93,4784.14,79.15,313.05,63.89,Keep
Spain,2023,Frozen Food,13016.73,15553.12,92.19,746.25,40.14,Keep
UK,2024,Frozen Food,20686.92,24116.77,84.96,894.16,46.65,Keep
Argentina,2024,Prepared Food,22659.37,26691.89,78.15,1129.9,56.07,Keep
South Korea,2023,Grains & Cereals,27421.17,22348.6,84.8,915.98,35.38,Keep
Turkey,2024,Grains & Cereals,14393.52,12636.77,189.58,407.1,31.49,Keep
Canada,2023,Meat & Seafood,8175.92,8432.6,34.19,294.24,30.73,Keep
Argentina,2023,Beverages,41797.93,40312.72,74.46,448.26,57.45,Keep
Japan,2024,Frozen Food,28821.56,29584.17,152.78,1080.56,59.78,Keep
Spain,2024,Prepared Food,12524.47,10671.38,180.96,1153.44,51.93,Keep
Russia,2024,Fruits & Vegetables,563.82,483.7,87.46,936.48,53.48,Keep
Mexico,2023,Frozen Food,24218.15,20941.25,143.37,1258.71,36.81,Keep
Saudi Arabia,2024,Grains & Cereals,45925.08,47953.86,99.48,1383.18,60,Keep
Brazil,2023,Meat & Seafood,15173.08,12308.37,130.24,878.37,54.07,Keep
India,2023,Frozen Food,44284.99,38861.06,51.28,908.33,55.69,Keep
South Korea,2024,Beverages,16128.56,14838.72,75.31,106.57,56.83,Keep
India,2023,Beverages,23087.01,27030.78,78.16,424.13,54.91,Keep
Saudi Arabia,2024,Bakery Items,19816.91,22843.49,22.03,1125.39,60.82,Keep
Russia,2024,Fruits & Vegetables,48862.19,39240.6,182.57,1164.68,53.72,Keep
USA,2024,Frozen Food,36454.83,36970.89,92.61,1282.4,42.42,Keep
Germany,2024,Frozen Food,33695.26,38272.43,152.54,1396.52,68.04,Keep
UK,2023,Frozen Food,40742.24,41870.59,130.91,269.85,32.64,Keep
Saudi Arabia,2023,Bakery Items,48092.85,49579.36,177.78,902.87,51.75,Keep
Canada,2023,Dairy Products,3006.19,3128.94,192.61,989.04,49.17,Keep
Mexico,2023,Fruits & Vegetables,7025.55,5854.36,154.08,633.21,60.45,Keep
Spain,2024,Frozen Food,38121.7,40311.64,198.79,604.01,68.25,Keep
UK,2023,Frozen Food,43341.18,50022.11,134.44,845.7,35.4,Keep
Mexico,2023,Dairy Products,17959.47,17095.59,196.54,286.94,56.39,Keep
Italy,2024,Bakery Items,30882.6,27595.88,97.22,250.83,56.52,Keep
Mexico,2023,Bakery Items,47661.94,40313.2,147.01,173.82,57.07,Keep
France,2024,Prepared Food,41760.67,39426.82,176.93,681.6,56.6,Keep
Australia,2024,Bakery Items,45135.33,41771.59,173.04,1306.91,38.21,Keep
France,2024,Dairy Products,46191.21,42204.85,88.13,1011.99,58.09,Keep
Russia,2024,Grains & Cereals,26250.32,25541.43,116.24,536.73,42.45,Keep
Italy,2023,Bakery Items,30733.72,33769.58,120.73,1189.92,61.7,Keep
Canada,2024,Meat & Seafood,4882.01,4313.83,180.47,1137.07,43.28,Keep
China,2023,Beverages,48055.47,55114.24,187.57,499.69,63.2,Keep
China,2023,Meat & Seafood,8890.9,9996.09,151.08,523.31,58.67,Keep
UK,2024,Bakery Items,6558.35,5615.49,57.99,1049.71,56.6,Keep
Italy,2023,Dairy Products,37860.05,41876.1,27.72,631.05,65.08,Keep
Canada,2023,Grains & Cereals,15877.32,17233.58,84.86,46.27,33.7,Keep
USA,2024,Frozen Food,6575.91,6249.36,118.44,635.65,63.01,Keep
Russia,2023,Beverages,28516.52,26477.35,110.39,1151.44,43.3,Keep
South Korea,2024,Beverages,2971.47,3030.6,39.05,352.07,45.35,Keep
South Africa,2023,Beverages,24558.37,28500.24,140.45,576.19,58.53,Keep
South Africa,2024,Prepared Food,13227.42,14726.89,179.67,16.93,41.71,Keep
China,2023,Meat & Seafood,19338.41,20365.97,190.1,424.67,31.52,Keep
Russia,2023,Grains & Cereals,1207.37,1390.41,128.87,1061.17,67.48,Keep
Italy,2024,Fruits & Vegetables,2474.83,2663.13,91.22,1382.17,58.15,Keep
Russia,2023,Meat & Seafood,4618.68,5138.08,69.78,280.37,53.06,Keep
India,2023,Beverages,1634.45,1960.97,71.68,23.17,54.52,Keep
France,2023,Beverages,45126.17,49357.92,156.41,1162.42,33.92,Keep
Spain,2024,Prepared Food,1732.31,1610.76,195.49,684.97,66.98,Keep
Indonesia,2024,Dairy Products,18682.94,16863.27,69.9,1362.25,67.05,Keep
UK,2024,Bakery Items,46857.01,53113.51,114.12,518.64,36.55,Keep
China,2023,Prepared Food,4611.94,4929.34,41.21,53.58,58.18,Keep
Indonesia,2023,Prepared Food,49816.86,41239.85,134.88,1382.02,67.85,Keep
Turkey,2024,Prepared Food,11404.52,11204.75,75.84,326.42,34.57,Keep
South Korea,2023,Prepared Food,1498.6,1441.45,179.65,79.16,62.74,Keep
France,2024,Fruits & Vegetables,24659.88,23758.67,62.68,1397.01,59.92,Keep
France,2023,Bakery Items,13901.18,11299.59,64.06,21.9,66.77,Keep
Italy,2024,Beverages,7032.21,8297.39,196.12,603.96,57.14,Keep
Italy,2024,Fruits & Vegetables,8065.54,9121.86,33.12,292.34,65.14,Keep
Russia,2023,Fruits & Vegetables,28458.05,32053.14,111.9,1023.31,43.09,Keep
Japan,2024,Prepared Food,7236.25,5985.85,112.63,41.66,37.49,Keep
Saudi Arabia,2024,Fruits & Vegetables,35483.41,33462.87,188.4,802.52,31.58,Keep
South Africa,2024,Bakery Items,34795.8,36643.27,90.7,922.21,67.29,Keep
Australia,2023,Fruits & Vegetables,13010.89,13474.49,187.25,466.68,53.45,Keep
South Korea,2024,Dairy Products,17681.37,18549.68,141.22,402.52,46.95,Keep
China,2023,Meat & Seafood,32497.32,33166.68,155.52,99.24,44.86,Keep
Russia,2023,Meat & Seafood,22245.81,24544.51,153.27,1030.64,32.55,Keep
Turkey,2023,Beverages,4747.33,5287.71,117.05,264.62,59.6,Keep
Japan,2023,Meat & Seafood,27099.72,28239.68,155.83,20.78,40.5,Keep
Saudi Arabia,2024,Bakery Items,39581.84,41930.82,104.09,342.77,36.49,Keep
USA,2023,Frozen Food,41112.98,38944.29,125.91,1118.7,48.87,Keep
Australia,2023,Fruits & Vegetables,34771.88,39746.31,108.15,531.36,53.2,Keep
Saudi Arabia,2023,Grains & Cereals,44376.96,38365.99,126.78,1395.67,33.04,Keep
Japan,2024,Prepared Food,26996.77,22247.24,141.2,195.3,63.68,Keep
Argentina,2023,Frozen Food,39575.31,33679.46,156.9,820.08,58.06,Keep
South Korea,2024,Frozen Food,44477.01,51554.51,135.69,634.67,47.85,Keep
Russia,2024,Prepared Food,19136.57,15632.33,36.34,726.02,60.73,Keep
Saudi Arabia,2024,Dairy Products,10346.33,8873.46,178.04,174.47,46.91,Keep
Mexico,2024,Fruits & Vegetables,11663.37,9373.54,27.2,1132.72,47.42,Keep
Russia,2023,Grains & Cereals,47754.5,43538.98,84.26,724.99,57.5,Keep
Mexico,2024,Dairy Products,46335.1,44293.66,68.29,878.73,66.64,Keep
Australia,2023,Fruits & Vegetables,32008.19,37944.81,96.91,293.21,40.81,Keep
South Korea,2023,Beverages,26692.28,27029.96,35.13,830.67,55.57,Keep
Saudi Arabia,2024,Beverages,38673.18,34473.09,190.61,803.85,44.24,Keep
Spain,2024,Dairy Products,21328.53,21673.87,56.09,365.74,50.62,Keep
USA,2024,Bakery Items,37219.35,38057.65,186.06,904.55,62.48,Keep
South Korea,2023,Beverages,12317.88,10632.5,186.06,993.41,42.45,Keep
Brazil,2023,Fruits & Vegetables,19516.89,16728.23,118.66,299.23,30.85,Keep
Brazil,2024,Grains & Cereals,39730.33,32152.11,99.6,1232.91,54.37,Keep
Brazil,2023,Frozen Food,28256.65,26235.52,76.73,294.5,54.39,Keep
Italy,2024,Fruits & Vegetables,40628.72,32673.05,122.42,982.85,31,Keep
Indonesia,2023,Bakery Items,32291.89,28109.53,128.13,647.42,40.17,Keep
South Africa,2023,Grains & Cereals,18519.25,19892.46,69.69,800.92,56.28,Keep
Italy,2024,Fruits & Vegetables,11568.58,13468.51,137.79,417.49,37.65,Keep
Australia,2024,Beverages,47042.59,46315.24,170.85,273.42,56.22,Keep
Canada,2024,Dairy Products,28578.74,30720.54,21.53,1288.55,43.81,Keep
Italy,2024,Dairy Products,33143.48,27390.55,198.88,1229.88,64.08,Keep
Russia,2024,Meat & Seafood,3571.28,4051.43,197.55,220.99,56.09,Keep
Canada,2023,Grains & Cereals,23410.02,20912.79,58.78,1350.89,58.11,Keep
Germany,2023,Dairy Products,32805.49,27652.9,187.31,858.85,48.83,Keep
Russia,2024,Dairy Products,22720.68,21947.26,79.97,858.05,66.92,Keep
Italy,2023,Prepared Food,45865.38,47164.59,42.96,194.31,49.63,Keep
Brazil,2024,Meat & Seafood,16537.53,18897.13,168.59,866.61,63.31,Keep
Turkey,2023,Prepared Food,36370.28,42376.5,42.69,513.06,56.74,Keep
Canada,2023,Fruits & Vegetables,3328.11,3896.18,103.8,1341.94,57.66,Keep
Brazil,2023,Dairy Products,41514.19,37913.97,58.18,1182.06,63.16,Keep
Russia,2023,Bakery Items,44961.18,40280.46,56.72,593.33,67.19,Keep
Italy,2024,Bakery Items,17376.06,17601.38,91.5,1323.92,36.82,Keep
Italy,2023,Prepared Food,33813.66,37518.62,183.18,283.27,41.38,Keep
UK,2024,Grains & Cereals,5527.56,6587.05,33.26,1194.06,62.01,Keep
Mexico,2023,Frozen Food,32919.76,39313.15,124.41,379.92,51.61,Keep
China,2024,Prepared Food,30618.56,34281.61,21.66,1015.92,43.26,Keep
Russia,2023,Grains & Cereals,9845.39,9764.39,59.4,876.16,45.66,Keep
Indonesia,2024,Fruits & Vegetables,32844.67,35654.28,114.02,762.99,64.8,Keep
Indonesia,2023,Fruits & Vegetables,1518.82,1441.51,53.56,430.12,49.45,Keep
South Africa,2024,Bakery Items,40131.85,40786.47,78.6,1385.86,58.46,Keep
Canada,2023,Prepared Food,15799.66,15339,87.49,887.33,35.11,Keep
South Africa,2023,Grains & Cereals,20766.05,22909.68,33.99,973.73,39.52,Keep
South Africa,2023,Grains & Cereals,22756.14,19733.92,140.48,965.39,35.42,Keep
UK,2023,Grains & Cereals,5717.85,5416.86,83.75,1334.57,69.95,Keep
Australia,2024,Frozen Food,26748.08,27086.57,67.2,598.69,46.57,Keep
South Korea,2023,Beverages,37904.41,42959,161.82,157.75,68.93,Keep
Indonesia,2023,Grains & Cereals,33312.33,35144.44,96.49,1035.22,40.92,Keep
Germany,2023,Prepared Food,35051.75,30279.11,117.21,37.35,34.26,Keep
South Africa,2024,Grains & Cereals,1107.72,1306.42,120.16,282.2,54.34,Keep
India,2024,Meat & Seafood,49234.79,57327.57,150.79,90.32,62.46,Keep
Spain,2023,Bakery Items,3663.49,4005.62,179.17,799.08,61.17,Keep
China,2024,Grains & Cereals,8868.1,9640.64,107.74,668.52,54.3,Keep
Saudi Arabia,2024,Frozen Food,33168.18,39427.5,160.48,749.4,45.93,Keep
USA,2024,Bakery Items,14150.56,13191.58,188.36,1066.05,64.5,Keep
Argentina,2024,Prepared Food,33975.04,38624.05,165.13,124.39,32.92,Keep
Japan,2024,Bakery Items,35661.32,31712.14,168.58,1097.42,33.92,Keep
China,2023,Beverages,23310.77,27804.91,111.3,1075.49,49.71,Keep
Turkey,2023,Beverages,26154.24,23605.36,97.74,952.86,61.6,Keep
Saudi Arabia,2024,Fruits & Vegetables,33000.57,27199.3,47.58,967.79,63.97,Keep
USA,2024,Bakery Items,28585.83,31170.26,82.82,560.49,38.67,Keep
Argentina,2023,Grains & Cereals,25283.83,27769.57,164.1,174.2,47.45,Keep
Australia,2023,Prepared Food,15560.43,17229.01,33.94,135.85,61.85,Keep
Saudi Arabia,2024,Prepared Food,27017.13,29962.85,128.51,444.85,55.7,Keep
Germany,2024,Meat & Seafood,10328.38,9680.69,113.97,113.64,50.43,Keep
South Korea,2023,Meat & Seafood,1381.98,1215.77,183.86,1064.29,41.61,Keep
Japan,2023,Bakery Items,31658.12,25907.78,182.21,466.22,69.25,Keep
India,2023,Bakery Items,32311.01,26850.99,22.03,245.47,52.84,Keep
China,2024,Frozen Food,36041.71,41442.24,172.55,309.4,58.45,Keep
Italy,2024,Meat & Seafood,34178.23,27478.34,105.28,993.67,33.85,Keep
USA,2023,Dairy Products,44920.38,36015.96,58.26,320.81,32.69,Keep
Turkey,2024,Prepared Food,34201.89,39119.8,24.43,888.89,31.99,Keep
Indonesia,2023,Bakery Items,1712.49,2031.46,101.2,878.61,54.97,Keep
Turkey,2023,Beverages,47671.19,44285.41,34.27,333.53,38.82,Keep
France,2024,Beverages,7967.52,9053.55,78.26,1089.85,55.08,Keep
China,2023,Grains & Cereals,41850.06,43474.2,66.45,216.97,42.47,Keep
Australia,2024,Prepared Food,37434.92,42099.74,41.77,620.77,36.97,Keep
South Africa,2024,Meat & Seafood,13361.44,12970.16,27.01,609.6,31.72,Keep
China,2023,Bakery Items,842.5,947.94,123.55,1097,33.03,Keep
UK,2024,Dairy Products,38171.54,38081.43,140.05,340.75,41.56,Keep
Italy,2024,Frozen Food,43166.14,42762.22,90.23,721.96,45.47,Keep
Germany,2023,Dairy Products,12295.52,12498.26,158.68,1210.98,69.08,Keep
Mexico,2024,Grains & Cereals,32745.8,29929.73,113.34,222.23,38.08,Keep
Turkey,2024,Meat & Seafood,45030.47,41196.59,92.94,1119.04,56.87,Keep
Italy,2023,Grains & Cereals,49737.09,57141.36,48.65,291.33,63.28,Keep
UK,2024,Prepared Food,44233.62,48960.11,41.35,454.89,54.46,Keep
Japan,2023,Prepared Food,29950.37,29371.74,80.39,1337.46,32.64,Keep
Australia,2023,Bakery Items,13151.02,12029.98,192.59,682.76,50.71,Keep
Canada,2023,Grains & Cereals,48793.72,49727.43,83.06,557.59,38.67,Keep
Russia,2023,Bakery Items,42578.56,47128.22,110.62,343.53,31.41,Keep
South Africa,2023,Prepared Food,32124.53,30188.52,27.19,1275.71,62.15,Keep
Germany,2023,Frozen Food,40808.56,36086.34,52.59,833.59,53.29,Keep
Mexico,2024,Prepared Food,47536.2,46886.22,84.49,376.19,57.53,Keep
China,2024,Meat & Seafood,12728.31,12115.94,55.08,760.37,38.63,Keep
Turkey,2023,Fruits & Vegetables,23351.45,19223.95,94.34,771.32,46.08,Keep
Argentina,2024,Dairy Products,31029.16,29166.87,146.09,184.15,44.95,Keep
China,2024,Beverages,43886.44,39205.98,51.59,1135.3,31.61,Keep
Saudi Arabia,2023,Frozen Food,13448.93,11774.96,99.43,250.36,68.27,Keep
UK,2023,Prepared Food,40338.02,32405.22,42.45,153.05,69.49,Keep
Germany,2023,Beverages,10440.31,9644.16,84.2,1143.59,49.7,Keep
Canada,2024,Grains & Cereals,39155.04,32634.58,151.69,610.65,38.28,Keep
France,2024,Dairy Products,45066.06,49348.46,145.63,1298.84,47.08,Keep
South Korea,2023,Bakery Items,7353.5,6107.4,166.22,123.76,32.85,Keep
China,2023,Frozen Food,31398.56,35945.1,29.25,627.03,36.15,Keep
South Africa,2024,Bakery Items,33519.8,36757.81,161.69,276.08,56.4,Keep
Indonesia,2024,Dairy Products,26014.74,22046.11,139.72,30.95,64.94,Keep
USA,2023,Dairy Products,38649.18,31579.18,56.11,814.16,60.69,Keep
Russia,2023,Prepared Food,19438.29,22652.07,86.85,865.23,36.73,Keep
Canada,2024,Grains & Cereals,21004.82,16927.09,109.2,840.09,39.94,Keep
India,2023,Dairy Products,47035.68,52552.41,43.53,187.69,46.27,Keep
Australia,2024,Grains & Cereals,30731.56,35981.04,185.96,986.66,41.94,Keep
Spain,2024,Dairy Products,14592.73,14443.07,76.33,752.73,55.75,Keep
Brazil,2024,Dairy Products,28942.01,26738.86,47.05,879.48,55.25,Keep
USA,2023,Frozen Food,8312.01,7442.82,106.56,929.78,47.64,Keep
India,2024,Fruits & Vegetables,12090.15,10281.78,193.08,1288.65,68.67,Keep
Indonesia,2024,Beverages,41578.83,37298.89,136.07,901.48,58.37,Keep
Turkey,2024,Fruits & Vegetables,36283.83,41217.28,56.31,729,62.54,Keep
USA,2024,Meat & Seafood,15071.26,16957.71,146.47,254.85,49.46,Keep
Russia,2023,Bakery Items,28659.64,33469.89,43.48,448.9,38.2,Keep
Turkey,2023,Frozen Food,22853.53,19743.52,118.02,1219.84,48.11,Keep
Russia,2024,Meat & Seafood,42576.12,36608.89,122.1,232.32,49.14,Keep
Germany,2024,Grains & Cereals,9932.43,8383.34,120.27,908.01,43.93,Keep
Saudi Arabia,2024,Fruits & Vegetables,6032.18,6151.26,112.3,1332.45,52.37,Keep
South Korea,2023,Frozen Food,39730.81,44325.47,163.16,61.71,46.91,Keep
India,2023,Fruits & Vegetables,20208.42,19286.57,182.45,1016.39,48.33,Keep
South Africa,2023,Frozen Food,22382.54,23012.5,57.26,1333.93,42.26,Keep
Turkey,2023,Meat & Seafood,23202.62,25711.18,108.2,58.44,30.02,Keep
Saudi Arabia,2024,Frozen Food,41603.87,33990.35,192.64,744.29,32.44,Keep
USA,2024,Dairy Products,32272.29,26747.69,159.76,1197.26,44.98,Keep
Germany,2024,Bakery Items,34146.15,38664.02,72.19,504.22,55.84,Keep
UK,2023,Prepared Food,6901.13,7359.68,135.48,229.89,36.8,Keep
Canada,2023,Bakery Items,37560.08,30645.7,120.84,516.13,44.2,Keep
Saudi Arabia,2023,Dairy Products,2544.13,2929.07,117.33,302.85,51.96,Keep
Germany,2023,Meat & Seafood,5914.08,5072.79,113.07,899.36,33.87,Keep
Saudi Arabia,2023,Beverages,4282.13,4826.13,35.54,749.21,59.35,Keep
Turkey,2023,Dairy Products,45027.58,46548.39,174.97,383.44,45.99,Keep
Brazil,2023,Dairy Products,9633.28,8830.22,68.34,834.84,61.75,Keep
Brazil,2024,Beverages,46556.75,42942.59,135.63,263.77,51.01,Keep
Turkey,2023,Meat & Seafood,46136,45904.35,160.68,974.32,41.4,Keep
China,2024,Fruits & Vegetables,10124.3,8979.47,181.05,613.93,44.56,Keep
Canada,2024,Bakery Items,10290.86,11048.84,81.46,1276.02,39.57,Keep
Brazil,2024,Meat & Seafood,15462.15,15203.97,79.32,349.84,36.14,Keep
Spain,2023,Frozen Food,5575.76,5997.71,168.26,920.7,42.2,Keep
Germany,2024,Fruits & Vegetables,16313.98,13151.48,117.37,857.42,65.39,Keep
China,2023,Beverages,6962.05,7390.53,113.45,453.29,66.12,Keep
South Africa,2024,Prepared Food,34323.78,29914.05,90.8,802.77,64.26,Keep
South Korea,2023,Beverages,7317,6147.99,37.85,285.31,38.59,Keep
South Korea,2023,Bakery Items,36457.7,35507.75,156.06,822.5,42.21,Keep
Argentina,2023,Frozen Food,1401.65,1589.87,100.81,715.88,36.45,Keep
Germany,2023,Dairy Products,9224.55,10662.32,194.63,1325.1,66.16,Keep
Saudi Arabia,2023,Frozen Food,28636.48,28091.86,46.01,287.34,57.16,Keep
UK,2024,Frozen Food,30576.71,28635.98,130.77,606.2,69.26,Keep
Spain,2023,Fruits & Vegetables,9824.63,10166.38,170.95,95.48,65.78,Keep
South Africa,2023,Bakery Items,37209.84,40772.12,113.06,270.27,30.78,Keep
Japan,2023,Fruits & Vegetables,44872.35,47160.34,181.13,472.4,39.23,Keep
Italy,2023,Dairy Products,33351.71,31582.14,115.37,1235.16,48.63,Keep
UK,2023,Grains & Cereals,1265.6,1137.41,153.28,1143.34,63.32,Keep
Italy,2023,Grains & Cereals,42611.76,38701.72,125.01,215.56,41.39,Keep
Japan,2024,Frozen Food,12384.55,14688.14,89.78,1211.37,42.82,Keep
Brazil,2023,Meat & Seafood,37229.3,40593.28,99.41,720.92,58.29,Keep
UK,2023,Prepared Food,49712.54,56999.64,96.74,257.65,48.86,Keep
Australia,2024,Prepared Food,25740.38,23155.14,20.8,563.68,62.64,Keep
Germany,2023,Fruits & Vegetables,24960.18,29567.69,63.59,113.95,42.9,Keep
Indonesia,2024,Dairy Products,25986.24,26731.26,88.34,893.18,46.04,Keep
Australia,2023,Dairy Products,26547.08,23261.13,174.71,1142.1,62.1,Keep
Italy,2023,Meat & Seafood,43906.35,45589.86,43.27,339.69,48.85,Keep
South Africa,2024,Meat & Seafood,515.22,585.58,57.61,217.64,63.02,Keep
Indonesia,2023,Prepared Food,44160.14,36660.14,66.5,455.52,67.87,Keep
France,2023,Frozen Food,44567.04,40658.54,79.75,1131.86,57.96,Keep
Spain,2024,Bakery Items,21022.29,23137.14,97.09,374.62,64.55,Keep
India,2023,Fruits & Vegetables,39158.17,31840.85,31.95,457.26,59.23,Keep
Spain,2023,Grains & Cereals,10239.45,9673.78,176.18,1042.88,44.43,Keep
Mexico,2023,Fruits & Vegetables,38729.38,35954.47,174.94,565.14,41.28,Keep
Australia,2023,Bakery Items,47579.06,45990.76,140.14,892.05,32.55,Keep
Turkey,2024,Grains & Cereals,19593.47,18976.55,89.08,334.55,39.33,Keep
France,2023,Dairy Products,46175.25,44497.24,106.95,1298.51,33.72,Keep
Mexico,2023,Prepared Food,42915.38,37429.73,26.55,1202.98,46.84,Keep
Italy,2024,Meat & Seafood,47405.16,51124.55,107.4,882.89,35.94,Keep
Turkey,2024,Grains & Cereals,30900.63,28588.22,136.07,1387.48,33.5,Keep
Canada,2024,Fruits & Vegetables,20440.62,20123.5,195.15,139.24,33.39,Keep
Indonesia,2023,Dairy Products,31465.08,36586.91,124.43,295.86,65.71,Keep
Australia,2023,Dairy Products,22957.97,22260.35,151.78,1177.05,59.7,Keep
Saudi Arabia,2023,Bakery Items,19071.25,16117.06,101.98,627.98,58.09,Keep
India,2023,Dairy Products,19935.2,16517.49,65.71,422.08,61.08,Keep
USA,2024,Prepared Food,9805.62,10171.56,28.74,204.11,58.95,Keep
Japan,2024,Beverages,28349.59,30062.85,38.75,498.19,58.5,Keep
Saudi Arabia,2023,Beverages,20022.07,18355.89,174.56,607.7,63.33,Keep
Saudi Arabia,2023,Frozen Food,1410.3,1386.31,129.18,1199.88,64.73,Keep
Indonesia,2024,Beverages,34860.29,30988.4,32.18,935.91,69.99,Keep
Spain,2023,Prepared Food,23587.98,23027.08,53.12,562.52,45.51,Keep
Canada,2024,Bakery Items,11448.82,13665.84,176.83,287.98,48.15,Keep
Germany,2024,Meat & Seafood,1025.25,841.87,64.02,871.3,38.56,Keep
Indonesia,2024,Bakery Items,15180.87,17081.77,27.43,805.85,68.04,Keep
Spain,2023,Beverages,19181.75,22185.26,93.97,568.08,66.83,Keep
Saudi Arabia,2023,Frozen Food,17410.79,15757.23,132.34,830.5,64.33,Keep
USA,2023,Grains & Cereals,6399.7,7049.6,61.54,850.42,63.4,Keep
Argentina,2023,Frozen Food,24214.07,23528.51,90.26,1083.41,60.78,Keep
South Africa,2024,Prepared Food,48708.21,56324.24,142.47,386.81,40.2,Keep
South Korea,2023,Frozen Food,15533.74,16349.63,127.92,892.76,42.66,Keep
Turkey,2024,Prepared Food,48558.23,52809.09,139.97,486.72,46.24,Keep
UK,2023,Grains & Cereals,3294.79,3145.7,36.53,1157.07,54.24,Keep
Argentina,2023,Fruits & Vegetables,31350.95,34430.63,167.05,15.95,58.55,Keep
Turkey,2024,Grains & Cereals,31836.59,32047.25,123.61,734.36,49.83,Keep
UK,2024,Grains & Cereals,38818.58,42081.85,66.88,1355.79,63.79,Keep
China,2024,Prepared Food,5529.26,5661.64,190.12,372.58,36.96,Keep
USA,2024,Fruits & Vegetables,22790.85,18513.51,104.57,382.3,58.65,Keep
South Korea,2024,Meat & Seafood,18935.15,21548.3,168.02,212.16,41.64,Keep
Canada,2023,Grains & Cereals,24204.54,20642.66,23.09,990.67,50.77,Keep
Mexico,2024,Frozen Food,9773.83,10242.02,99.76,844.89,66.02,Keep
Turkey,2024,Bakery Items,5740.99,5175.08,26.29,466.57,49.57,Keep
Italy,2024,Fruits & Vegetables,39012.38,39009.82,97.73,150.37,43.72,Keep
Germany,2023,Beverages,39163.83,36725.5,96.93,1354.12,45.77,Keep
India,2024,Fruits & Vegetables,27293.62,22003.31,61.47,264.66,67.67,Keep
Russia,2024,Beverages,12148.55,10214.13,68.7,1209.48,62.66,Keep
Brazil,2024,Bakery Items,27987.95,24427.79,66.28,91.78,43.46,Keep
Spain,2023,Meat & Seafood,5117.51,5392.38,44.55,521.32,50.14,Keep
USA,2024,Frozen Food,14821.69,15577.51,141.58,541.52,36.38,Keep
India,2024,Frozen Food,40414.19,42394.85,188.16,327.1,41.82,Keep
Japan,2023,Dairy Products,21409.3,24661.22,159.22,1252.33,32.39,Keep
Saudi Arabia,2023,Fruits & Vegetables,41572.87,49079.89,146.02,190.57,64.13,Keep
Spain,2023,Beverages,35263.78,32027.17,114.62,772.03,33.78,Keep
Saudi Arabia,2024,Dairy Products,13535.23,15210.86,185.76,490.98,65.92,Keep
Turkey,2024,Prepared Food,36016.89,37081.95,86.78,774.29,44.86,Keep
Japan,2023,Fruits & Vegetables,9837.02,11627.82,115.82,877.07,68.11,Keep
UK,2024,Frozen Food,39780.81,36194.44,136.25,1372.46,58.15,Keep
South Africa,2024,Beverages,24694.29,21980.41,123.96,292.27,35.35,Keep
Indonesia,2024,Dairy Products,1618.65,1579.4,31.44,707.74,37.06,Keep
South Korea,2024,Grains & Cereals,33870.28,33802.04,46.63,1124.04,33.43,Keep
Mexico,2023,Meat & Seafood,13878.66,13795.11,165.73,355.82,63.51,Keep
Germany,2024,Beverages,43681.35,39417.42,30.52,17.13,49.14,Keep
USA,2023,Frozen Food,16518.26,18623.18,142.12,1266.48,68.68,Keep
China,2024,Dairy Products,18058.32,19654.95,178.49,180.81,51.2,Keep
